well_id,date,year,month,precip_mm,temp_mean_c,groundwater_level_m,sin_month,cos_month,precip_lag1,precip_roll3,precip_roll6,precip_roll12,temp_lag1,temp_roll3,precip_spi_proxy,county,latitude,longitude,total_depth_m,casing_depth_m,overburden_depth_m,bedrock_depth_m,aquifer_type,geo_threat,baseline_gwl_m,pump_intake_depth_m,nearest_station_id,casing_ratio,aq_Carboniferous Sandstone,aq_Fractured Bedrock,aq_Glaciofluvial Sand/Gravel,aq_Mafic Volcanic,aq_Windsor Group Karst,sc_precip_mm,sc_temp_mean_c,sc_sin_month,sc_cos_month,sc_precip_lag1,sc_precip_roll3,sc_precip_roll6,sc_precip_roll12,sc_temp_lag1,sc_temp_roll3,sc_precip_spi_proxy,sc_latitude,sc_longitude,sc_total_depth_m,sc_casing_depth_m,sc_overburden_depth_m,sc_bedrock_depth_m,sc_casing_ratio,sc_baseline_gwl_m,sc_aq_Carboniferous Sandstone,sc_aq_Fractured Bedrock,sc_aq_Glaciofluvial Sand/Gravel,sc_aq_Mafic Volcanic,sc_aq_Windsor Group Karst,sc_groundwater_level_m
NB-OWLS-1000,2014-01-01,2014,1,119.64,-8.15,-6.44,0.49999999999999994,0.8660254037844387,119.64,119.64,119.64,119.64,-8.15,-8.15,1.4541551490527027,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,1.1756772532382012,-1.2967868160427873,0.7071067811865474,1.224744871391589,1.1888284442097914,1.51021997644604,2.047328708196239,3.5959451522124213,-1.2932895011191616,-1.420126245916051,1.5102199764460404,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.8955152325748271
NB-OWLS-1000,2014-02-01,2014,2,81.35,-6.56,-6.55,0.8660254037844386,0.5000000000000001,119.64,100.495,100.495,100.495,-8.15,-7.355,0.3857090970990873,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.45996771680315923,-1.1338486611027876,1.224744871391589,0.7071067811865477,1.1888284442097914,0.46548022672235206,0.6453336097689288,1.150703152851487,-1.2932895011191616,-1.3306935094928376,0.4654802267223524,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.8661093361593126
NB-OWLS-1000,2014-03-01,2014,3,71.66,-1.69,-6.569,1.0,6.123233995736766e-17,81.35,90.88333333333333,90.88333333333333,90.88333333333333,-6.56,-5.466666666666666,-0.15069974608159598,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.8738982406919233,-0.6347865135821595,1.414213562373095,1.5009712284142646e-16,-0.4558678112024858,-0.059026967206133825,-0.058532128250598246,-0.07692030064503337,-1.1306308963995968,-1.1182673242360233,-0.05902696720613354,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.8610301358693601
NB-OWLS-1000,2014-04-01,2014,4,67.49,6.04,-6.21,0.8660254037844387,-0.4999999999999998,71.66,73.5,85.035,85.035,-1.69,-0.7366666666666664,-1.1208305306098632,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-1.0520293330155712,0.15735935917645524,1.224744871391589,-0.7071067811865471,-0.872088931989766,-1.007632833804729,-0.4868076397315269,-0.8238824470503189,-0.6324249813151436,-0.5861706660199253,-1.007632833804729,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.9570002887163577
NB-OWLS-1000,2014-05-01,2014,5,70.18,13.2,-6.155,0.49999999999999994,-0.8660254037844387,67.49,69.77666666666666,82.064,82.064,6.04,5.8500000000000005,-1.3286226852250267,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.9371198274159034,0.8910934405414853,0.7071067811865474,-1.224744871391589,-1.051205761059215,-1.210814569756912,-0.7043750169802886,-1.2033451777947088,0.15836182024601098,0.15478986719713586,-1.2108145697569117,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.971703236924115
NB-OWLS-1000,2014-06-01,2014,6,85.28,17.31,-6.236,1.2246467991473532e-16,-1.0,70.18,74.31666666666668,82.60000000000001,82.60000000000001,13.2,12.183333333333332,-1.075253916571622,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.2920887736779945,1.3122731995373336,1.9238123018656702e-16,-1.414213562373095,-0.9356603725228074,-0.963067457521573,-0.6651235480454722,-1.1348860651461061,0.8908370465303405,0.8672519183673867,-0.9630674575215727,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.9500498041090543
NB-OWLS-1000,2014-07-01,2014,7,72.39,21.05,-6.33,-0.4999999999999997,-0.8660254037844388,85.28,75.95,74.72500000000001,81.14142857142858,17.31,17.186666666666667,-0.9841006884951408,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.8427146202132031,1.695536532540855,-0.7071067811865471,-1.2247448713915892,-0.2870598643816381,-0.8739367049552623,-1.2418125739067973,-1.321178053456931,1.3112941945790266,1.4300969387918854,-0.8739367049552621,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.9249211289903417
NB-OWLS-1000,2014-08-01,2014,8,81.56,17.41,-6.738,-0.8660254037844385,-0.5000000000000004,72.39,79.74333333333334,74.76,81.19375,21.05,18.59,-0.772401966962414,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,-0.450997086254486,1.3225208822379626,-1.2247448713915887,-0.7071067811865481,-0.8407327484836034,-0.6669350796073807,-1.239249511569636,-1.3144954441798669,1.6938999692024055,1.5879635301301358,-0.6669350796073804,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.8158519859218876
NB-OWLS-1000,2014-09-01,2014,9,113.28,10.74,-6.274,-1.0,-1.8369701987210297e-16,81.56,89.07666666666667,81.69666666666667,84.75888888888889,17.41,16.400000000000002,-0.2515263779539485,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,0.9039952994783932,0.6390004461060141,-1.414213562373095,-1.9628529965277086e-16,-0.4468475392349593,-0.1576164935141753,-0.7312749664617345,-0.8591479725336874,1.3215242955047857,1.3416016524360017,-0.157616493514175,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.9398914035291492
NB-OWLS-1000,2014-10-01,2014,10,115.12,4.18,-6.208,-0.8660254037844386,0.5000000000000001,113.28,103.32000000000001,89.635,87.795,10.74,10.776666666666669,0.5433669762721856,York,46.35483,-67.00464,148.9,31.5,26.0,29.5,Carboniferous Sandstone,,-6.42,-135.8,ECCC_FREDERICTON,0.2115513625553148,1.0,0.0,0.0,0.0,0.0,0.9825951100000988,-0.033247539055242546,-1.224744871391589,0.7071067811865477,0.9156430646218551,0.6196400487630636,-0.14994801827602217,-0.4713691058000607,0.6391765637566742,0.7090103470022051,0.6196400487630639,-0.032866432139249925,-0.7189702697956444,1.9359622595055666,1.3221449825279987,1.4731969168719796,1.689550183581075,-0.37559778052018883,0.9625851214715405,1.224744871391589,-0.6339315096116493,-0.3575185993374057,-0.3808387689547,-0.2813124431081605,0.957534941378458
